Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After
Eritrea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",580.845,566.731,585.158,632.409,655.455,680.185,706.341,733.909,2006
Estonia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","23,181.22","23,757.62","22,985.86","26,377.58","28,245.30","29,871.40","31,493.96","33,128.83",2019
Eswatini,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,267.11","4,113.89","3,414.81","3,697.21","4,101.99","4,184.62","4,312.20","4,458.00",2017
Ethiopia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",852.011,960.765,974.088,917.884,928.122,974.433,"1,069.20","1,165.72",2016
Fiji,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,222.57","6,043.01","4,370.89","4,822.39","5,333.52","5,708.54","6,051.74","6,304.53",2017
Finland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","50,074.88","48,809.55","48,461.48","54,816.90","57,381.16","59,655.97","61,640.40","63,622.00",2019
France,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","43,083.48","41,896.58","39,257.43","44,769.80","46,833.62","48,579.22","50,206.14","51,768.64",2019
Gabon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,220.49","8,111.34","7,185.42","7,784.53","8,276.12","8,765.90","9,354.22","9,936.01",2004
The Gambia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",729.035,774.206,746.329,808.584,841.922,905.58,968.308,"1,019.33",2018
Georgia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,718.79","4,765.09","4,405.27","4,714.28","5,144.23","5,604.05","6,093.03","6,611.12",2015
Germany,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","47,832.06","46,472.62","45,466.12","51,967.33","54,875.57","56,966.92","58,849.03","60,890.48",2019
Ghana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,216.84","2,220.82","2,187.79","2,299.88","2,393.66","2,538.87","2,623.14","2,720.44",2018
Greece,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","20,317.89","19,569.53","18,168.34","20,520.69","22,143.09","23,526.98","24,633.75","25,441.14",2019
Grenada,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,791.29","11,193.46","9,824.34","10,211.11","10,887.07","11,617.79","12,202.12","12,735.77",2016
Guatemala,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,235.78","4,354.34","4,239.67","4,384.93","4,514.73","4,654.43","4,870.26","5,099.62",2019
Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",916.223,"1,012.50","1,019.41","1,066.84","1,130.48","1,183.04","1,233.61","1,286.70",2014
Guinea-Bissau,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",866.451,810.558,766.749,843.473,888.42,942.862,997.536,"1,055.72",2017
Guyana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,120.54","6,594.38","8,648.55","9,912.70","13,268.00","16,641.02","17,227.44","17,627.71",2019
Haiti,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",868.28,772.863,732.066,697.488,712.581,728.209,745.254,764.584,0
Honduras,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,479.07","2,550.67","2,412.44","2,592.76","2,690.15","2,809.92","2,946.89","3,099.73",2019
Hong Kong SAR,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","48,313.86","48,626.58","45,175.73","47,989.62","50,849.55","53,191.25","55,615.10","58,231.46",2019
Hungary,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,146.75","16,469.61","15,372.89","17,644.53","19,032.16","20,387.92","21,645.32","22,825.73",2019
Iceland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","73,868.07","67,857.18","57,189.03","58,370.63","59,095.14","59,651.52","60,829.43","63,995.65",2018
India,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,005.86","2,097.78","1,876.53","2,030.62","2,195.14","2,366.56","2,544.26","2,729.24",2013
Indonesia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,947.13","4,196.67","4,038.40","4,287.19","4,557.23","4,834.01","5,122.04","5,428.87",2019
Islamic Republic of Iran,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,288.86","7,009.76","7,256.95","7,667.57","7,986.32","8,215.53","8,418.00","8,648.41",2019
Iraq,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,919.21","5,883.68","4,438.12","4,766.61","4,928.84","5,122.37","5,219.52","5,315.96",2013
Ireland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","79,133.17","80,504.40","79,668.50","90,478.08","96,391.21","101,923.03","107,192.00","112,518.85",2019
Israel,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","41,720.58","43,603.01","41,559.51","43,439.38","44,805.97","46,252.61","47,693.47","49,091.89",2019
Italy,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","34,500.21","33,159.07","30,657.30","35,061.62","36,689.82","37,915.91","38,820.75","39,738.45",2019
Jamaica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,730.91","5,826.09","5,220.81","5,643.23","5,986.02","6,297.88","6,595.53","6,886.70",2019
Japan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","39,150.28","40,255.94","39,047.86","40,733.02","42,777.20","45,294.90","47,302.92","48,882.81",2019
Jordan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,341.04","4,425.69","4,173.85","4,347.00","4,526.03","4,747.44","4,994.51","5,255.70",2018
Kazakhstan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,749.07","9,750.17","8,781.87","9,454.35","10,306.85","11,366.28","12,190.81","13,087.10",2018
Kenya,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,888.20","2,004.42","2,075.22","2,122.08","2,234.37","2,347.26","2,465.97","2,593.33",2019
Kiribati,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,718.78","1,672.38","1,638.45","1,816.60","1,850.21","1,899.24","1,942.48","1,987.77",2017
Korea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","33,422.94","31,846.22","30,644.43","32,305.25","34,011.76","35,682.61","37,405.25","39,113.24",2018
Kosovo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,432.56","4,428.70","4,141.44","4,753.06","5,020.53","5,285.15","5,558.08","5,846.15",0
Kuwait,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","30,442.12","28,499.79","22,252.43","23,138.08","23,773.59","24,250.79","24,700.70","25,265.21",2018
Kyrgyz Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,321.95","1,323.47","1,147.81","1,269.98","1,359.32","1,445.40","1,501.44","1,560.24",2019
Lao P.D.R.,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,567.89","2,660.75","2,567.01","2,614.12","2,756.12","2,911.11","3,073.89","3,253.70",2018
Latvia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","17,747.01","17,771.63","17,230.14","19,933.77","21,570.62","23,201.14","24,599.64","25,938.45",2019
Lebanon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,012.54","7,661.07","2,744.76",n/a,n/a,n/a,n/a,n/a,2012
Lesotho,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,215.15","1,185.40",924.208,"1,018.32","1,157.50","1,242.60","1,279.95","1,323.35",2016
Liberia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",731.317,693.818,653.597,646.256,659.038,675.598,695.821,721.805,2016
Libya,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,361.58","6,055.46","3,282.04","4,732.70","6,338.52","7,238.05","7,891.84","8,610.33",2017
Lithuania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","19,089.28","19,482.14","19,883.07","22,751.74","24,411.17","25,940.81","27,301.06","28,674.00",2019
Luxembourg,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","117,859.72","115,838.77","109,602.32","125,922.64","131,701.05","136,246.00","139,729.08","143,165.97",2018
Macao SAR,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","82,535.64","79,251.49","38,769.20","48,207.05","62,600.62","78,323.67","85,921.85","92,367.27",2019
Madagascar,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",528.481,525.296,514.854,554.384,599.057,628.18,658.443,689.199,2010
Malawi,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",350.441,377.72,399.097,397.311,400.347,402.735,407.572,413.16,2011
Malaysia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,077.43","11,193.02","10,192.46","11,378.44","12,205.50","13,084.08","13,911.19","14,765.67",2019
Maldives,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","14,552.21","15,504.71","12,464.37","14,193.98","15,807.09","17,054.87","18,255.48","19,404.41",2014
Mali,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",915.638,907.252,899.223,992.307,"1,051.93","1,099.17","1,144.97","1,179.76",2017
Malta,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","31,023.60","30,374.22","28,468.65","32,099.28","34,349.21","36,372.08","38,574.27","40,955.52",2019
Marshall Islands,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,055.98","4,325.68","4,070.62","4,091.80","4,306.21","4,472.57","4,631.75","4,787.18",2018
Mauritania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,775.32","1,872.59","1,790.95","1,781.53","1,826.10","1,913.47","1,992.01","2,038.54",2014
Mauritius,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,205.90","11,090.43","8,950.70","9,629.78","10,622.37","11,166.76","11,599.98","12,037.73",2018
Mexico,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,687.01","9,862.44","8,069.10","8,402.50","8,707.95","9,017.74","9,329.81","9,651.74",2019
Micronesia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,928.14","4,044.88","3,854.74","3,995.09","4,094.92","4,197.25","4,302.13","4,409.64",2018
Moldova,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,141.84","4,458.19","4,267.73","4,527.33","4,869.65","5,257.72","5,683.52","6,134.31",2019
Mongolia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,056.73","4,201.82","3,989.93","4,139.33","4,397.50","4,667.33","4,932.42","5,199.57",2019
Montenegro,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,854.78","8,825.69","7,933.43","9,152.39","9,738.63","10,226.75","10,715.35","11,231.65",2019
Morocco,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,348.14","3,331.76","3,121.38","3,408.59","3,553.17","3,710.23","3,875.58","4,056.16",2018
Mozambique,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",484.87,487.687,455.014,430.521,447.355,486.573,543.234,607.413,2015
Myanmar,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,271.68","1,299.22","1,332.55","1,441.12","1,566.89","1,701.43","1,848.70","2,010.21",2015
Namibia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,609.91","5,072.37","4,051.93","4,411.84","4,754.34","4,900.39","5,061.51","5,202.51",2019
