,Manga ID,English Title,Japanese Title,Type,Volumes,Chapters,Status,Published,Genres,Author,Serialization,Score,Ranked,Popularity,Members
153,736,Blade of the Phantom Master,新暗行御史,Manga,17,76,Finished,"Mar  19, 2001 to Aug  18, 2007","['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Supernatural', 'Seinen']","['Yoon, In-Wan (Story)', ' Yang, Kyung-il (Art)']",Sunday Gene-X,8.42,157,366,25882
154,2921,Maid-sama!,会長はメイド様！,Manga,18,98,Finished,"Dec  24, 2005 to Sep  24, 2013","['Comedy', 'Romance', 'School', 'Shoujo']","['Fujiwara, Hiro (Story & Art)']",LaLa,8.42,158,33,114770
155,16816,Durarara!!,デュラララ!!,Novel,13,89,Finished,"Apr  10, 2004 to Jan  10, 2014","['Action', 'Drama', 'Romance', 'Supernatural']","['Narita, Ryohgo (Story)', ' Yasuda, Suzuhito (Art)']",None,8.42,156,463,20384
156,35573,orange,orange,Manga,6,31,Finished,"Mar  13, 2012 to Jan  25, 2017","['Drama', 'Romance', 'School', 'Sci', 'Sci', 'Shoujo']","['Takano, Ichigo (Story & Art)']",Monthly Action,8.42,157,40,103098
157,48347,Welcome to the Ballroom,ボールルームへようこそ,Manga,Unknown,Unknown,Publishing,"Nov  5, 2011 to ?","['Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Sports']","['Takeuchi, Tomo (Story & Art)']",Shounen Magazine (Monthly),8.42,158,384,24223
158,107562,Unknown,薬屋のひとりごと,Manga,Unknown,Unknown,Publishing,"May  25, 2017 to ?","['Drama', 'Historical', 'Seinen']","['Hyuuga, Natsu (Story)', ' Nekokurage (Art)', ' Nanao, Itsuki (Story)']",Big Gangan,8.42,156,870,12212
159,401,Parasyte,寄生獣,Manga,10,64,Finished,"Nov  22, 1989 to Dec  23, 1995","['Action', 'Drama', 'Horror', 'Sci', 'Sci', 'Psychological', 'Seinen']","['Iwaaki, Hitoshi (Story & Art)']",Afternoon,8.41,160,97,67589
160,112115,Act-age,アクタージュ act-age,Manga,Unknown,Unknown,Publishing,"Jan  22, 2018 to ?",['Shounen'],"['Matsuki, Tatsuya (Story)', ' Usazaki, Shiro (Art)']",Shounen Jump (Weekly),8.41,161,394,23588
161,75989,My Hero Academia,僕のヒーローアカデミア,Manga,Unknown,Unknown,Publishing,"Jul  7, 2014 to ?","['Action', 'Comedy', 'School', 'Shounen', 'Super', 'Super']","['Horikoshi, Kouhei (Story & Art)']",Shounen Jump (Weekly),8.41,162,9,235499
162,25515,Unknown,ジョジョの奇妙な冒険 Part8 ジョジョリオン,Manga,Unknown,Unknown,Publishing,"May  19, 2011 to ?","['Action', 'Adventure', 'Mystery', 'Supernatural', 'Seinen']","['Araki, Hirohiko (Story & Art)']",Ultra Jump,8.41,163,129,56857
163,23900,Umineko WHEN THEY CRY Episode 7: Requiem of the Golden Witch,うみねこのなく頃に散 - Episode 7: Requiem of the golden witch,Manga,9,48,Finished,"Apr  13, 2011 to Mar  12, 2015","['Mystery', 'Drama', 'Shounen', 'Supernatural', 'Psychological', 'Thriller']","['Mizuno, Eita (Art)', ' Ryukishi07 (Story)']",Shounen Gangan,8.4,172,1952,5964
164,107931,Unknown,ブルーピリオド,Manga,Unknown,Unknown,Publishing,"Jun  24, 2017 to ?","['Drama', 'School', 'Seinen']","['Yamaguchi, Tsubasa (Story & Art)']",Afternoon,8.4,164,1177,9460
165,10,xxxHOLiC,xxxHOLiC,Manga,19,213,Finished,"Feb  24, 2003 to Feb  9, 2011","['Comedy', 'Mystery', 'Drama', 'Magic', 'Supernatural', 'Seinen']",['CLAMP (Story & Art)'],Young Magazine (Weekly),8.4,165,116,61000
166,31,Love★Com,ラブ★コン,Manga,17,68,Finished,"Aug  13, 2001 to Aug  13, 2007","['Comedy', 'Drama', 'Romance', 'School', 'Shoujo']","['Nakahara, Aya (Story & Art)']",Bessatsu Margaret,8.4,167,171,44735
167,106,Cardcaptor Sakura,カードキャプターさくら,Manga,12,50,Finished,"May  2, 1996 to Jul  3, 2000","['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Romance', 'Shoujo']",['CLAMP (Story & Art)'],Nakayoshi,8.4,168,162,47187
168,923,From Far Away,彼方から,Manga,14,57,Finished,"Sep  24, 1991 to Jan  24, 2003","['Adventure', 'Demons', 'Fantasy', 'Romance', 'Shoujo']","['Hikawa, Kyouko (Story & Art)']",LaLa,8.4,168,934,11505
169,2895,Unknown,ピアノの森,Manga,26,242,Finished,"Aug  5, 1998 to Nov  5, 2015","['Drama', 'Music', 'Seinen']","['Isshiki, Makoto (Story & Art)']",Morning,8.4,169,1020,10638
170,3281,Barefoot Gen,はだしのゲン,Manga,10,54,Finished,"May  22, 1973 to Sep  10, 1974","['Drama', 'Historical', 'Shounen']","['Nakazawa, Keiji (Story & Art)']",Shounen Jump (Weekly),8.4,171,1837,6266
171,5255,Dengeki Daisy,電撃デイジー,Manga,16,80,Finished,"May  12, 2007 to Dec  24, 2013","['Comedy', 'Drama', 'Romance', 'Shoujo']","['Motomi, Kyousuke (Story & Art)']",Betsucomi,8.4,171,48,97674
172,5744,Unknown,ピンポン,Manga,5,55,Finished,1996 to 1997,"['Drama', 'Sports', 'Psychological', 'Seinen']","['Matsumoto, Taiyou (Story & Art)']",Big Comic Spirits,8.39,177,1392,8133
173,96573,Something About Us,우리사이느은,Manhwa,5,101,Finished,"Oct  1, 2014 to Oct  19, 2016","['Romance', 'School', 'Slice', 'Slice']","['Lee, Yunji (Story & Art)']",Lezhin Comics Webtoon,8.39,173,700,14633
174,99007,Unknown,古見さんは、コミュ症です。,Manga,Unknown,Unknown,Publishing,"May  18, 2016 to ?","['Comedy', 'School', 'Shounen']","['Oda, Tomohito (Story & Art)']",Shounen Sunday,8.39,174,51,96339
175,58141,The world of Machida-kun,町田くんの世界,Manga,7,28,Finished,"Jun  13, 2013 to Apr  13, 2018","['School', 'Shoujo']","['Andou, Yuki (Story & Art)']",Bessatsu Margaret,8.39,175,1048,10453
176,87610,That Time I Got Reincarnated as a Slime,転生したらスライムだった件,Novel,Unknown,Unknown,Publishing,"May  30, 2014 to ?",['Fantasy'],"['Mitz Vah (Art)', ' Fuse (Story)']",None,8.39,176,725,14171
177,56529,Bungo Stray Dogs,文豪ストレイドッグス,Manga,Unknown,Unknown,Publishing,"Dec  4, 2012 to ?","['Action', 'Supernatural', 'Seinen']","['Asagiri, Kafka (Story)', ' Harukawa35 (Art)']",Young Ace,8.38,178,250,34827
178,57791,Unknown,CANISシリーズ,Manga,Unknown,Unknown,Publishing,"Jun  28, 2012 to ?","['Drama', 'Shounen', 'Shounen', 'Slice', 'Slice']","['Ishie, Hachi (Story & Art)']",Opera,8.38,179,1992,5848
