,Rank,Country,Player,Accuracy,Play Count,Performance,SS,S,A
44,145,United States,Toy,99.52%,"267,670","13,138","9,653","4,251","1,376"
45,146,Portugal,Takaga,98.69%,"81,515","13,127",155,"1,433","1,573"
46,147,Canada,- Jay -,95.29%,"60,373","13,126",21,443,824
47,148,United States,Iliekwaffles,97.77%,"88,378","13,123",25,596,962
48,149,Germany,Neox,98.56%,"49,894","13,106",49,655,798
49,150,Bulgaria,Ilmeria,97.56%,"420,575","13,104",158,"1,945","2,415"
0,151,Spain,Frosiito,98.78%,"146,368","13,092",89,"1,209","1,573"
1,152,United Kingdom,rip fc,97.36%,"103,202","13,089",67,520,881
2,153,Russian Federation,Envy_ss,97.13%,"130,387","13,081",50,"1,369",878
3,154,Singapore,emilia,95.74%,"132,952","13,078",55,"2,179","1,806"
4,155,Chile,lPogonyuto,98.28%,"48,217","13,074",10,206,851
5,156,Indonesia,rho,98.65%,"82,122","13,069",103,869,"1,070"
6,157,Taiwan,[ Zane ],98.89%,"185,630","13,064",264,"3,055","2,429"
7,158,Israel,Xilver15,99.39%,"384,855","13,058","1,006","4,880","1,726"
8,159,Serbia,Andrej,98.74%,"151,133","13,053",43,"1,103","1,035"
9,160,United Kingdom,bloo,98.68%,"155,827","13,049",119,804,725
10,161,Sweden,Hungah,98.03%,"98,129","13,040",19,628,805
11,162,Australia,Monk The Don,97.84%,"266,374","13,038",112,"2,827","3,348"
12,163,United States,Pincus,97.18%,"73,269","13,026",6,411,697
13,164,United States,Flezlin,96.55%,"84,045","13,003",0,558,992
14,165,China,PandaCattle,97.24%,"149,253","13,001",22,807,"1,122"
15,166,Russian Federation,MrFuture,99.18%,"126,917","13,001",349,686,775
16,167,United States,229,96.77%,"146,531","12,993",29,457,"1,385"
17,168,Romania,roliy,97.99%,"75,146","12,980",14,439,"1,099"
18,169,United Kingdom,Voss,97.71%,"167,306","12,960","1,144","2,145","1,362"
19,170,Turkey,Raikouhou,97.88%,"63,562","12,955",45,430,756
20,171,France,ThePooN,98.92%,"96,183","12,951",85,"1,388","1,145"
21,172,China,MyAngelMiku,98.43%,"120,210","12,947",19,663,"1,441"
22,173,Canada,Rupertion,99.04%,"80,829","12,923",183,"1,302","1,348"
23,174,Italy,Koba,99.50%,"292,398","12,909",698,"2,940","1,970"
24,175,Poland,MrBooM,99.03%,"78,825","12,904",41,"1,407","1,165"
25,176,France,-ZooM-,97.17%,"52,181","12,902",2,426,625
26,177,South Korea,gusrua123,98.82%,"95,089","12,901",85,"2,910","1,982"
27,178,United States,KLQ,98.67%,"118,900","12,898",162,"2,229","1,505"
28,179,Thailand,Ithi,96.18%,"80,133","12,896",9,322,345
29,180,United States,JappaDeKappa,97.61%,"63,444","12,871",78,197,306
30,181,South Korea,Kepler,91.87%,"89,361","12,869",7,598,809
31,182,South Korea,Aristia,97.17%,"78,782","12,867",111,"2,200",593
32,183,France,-raizen-,98.85%,"179,577","12,865",40,"1,736","1,735"
