,Rank,Country,Player,Accuracy,Play Count,Performance,SS,S,A
13,2864,Japan,HaReeee,97.99%,"71,435","8,718",25,498,847
14,2865,Germany,Myrapla,95.91%,"63,019","8,718",17,511,841
15,2866,Poland,Ruikoo,99.08%,"113,671","8,718",66,717,249
16,2867,Syrian Arab Republic,[-Cana-],96.95%,"92,600","8,717",92,588,"1,363"
17,2868,United States,PenguinS,99.14%,"35,622","8,717",24,599,"1,065"
18,2869,Kazakhstan,Akira,98.24%,"35,321","8,717",26,327,657
19,2870,New Zealand,Ayachi Meme,97.91%,"108,965","8,717",216,"1,081","1,252"
20,2871,United States,Boby,98.48%,"59,459","8,716",50,380,813
21,2872,China,Neina,90.22%,"103,928","8,716",3,249,462
22,2873,Canada,leny,95.45%,"56,465","8,716",35,337,497
23,2874,Switzerland,-Spartan,98.77%,"73,403","8,715",422,596,659
24,2875,Australia,Rivastyx,95.27%,"62,961","8,715",65,"2,408","1,449"
25,2876,Canada,TzuyuNayeon,98.37%,"31,169","8,715",2,523,910
26,2877,Japan,Tsukino Mito,99.22%,"127,392","8,714",836,841,446
27,2878,Belarus,FolMing,98.23%,"81,935","8,712",224,"1,492","1,719"
28,2879,Hong Kong,jimmy172,96.94%,"86,868","8,711",38,667,"1,205"
29,2880,China,[ baka 3b ],98.77%,"104,850","8,710",76,"2,949","2,187"
30,2881,United States,Zero Esper,98.58%,"28,091","8,710",23,505,410
31,2882,Brazil,CocaSlayer,96.48%,"32,318","8,710",4,62,317
32,2883,Ukraine,Vasaman,97.27%,"79,879","8,709",50,654,906
33,2884,France,Miss Clo,97.44%,"63,482","8,708",29,762,"1,409"
34,2885,Indonesia,WeanNeuer,99.27%,"59,284","8,708",83,"1,034",829
35,2886,Uruguay,Athenai,98.69%,"141,207","8,708",46,852,"1,473"
36,2887,United States,Darin on osu,96.36%,"57,973","8,708",36,976,"1,922"
37,2888,Romania,_thicke,99.30%,"79,175","8,707",236,"2,379","2,195"
38,2889,Indonesia,Walfrid,98.05%,"30,382","8,706",17,456,"1,278"
39,2890,Russian Federation,TESTER PIVKA,98.66%,"13,781","8,706",17,327,560
40,2891,United States,bananaboi,97.86%,"34,564","8,705",21,575,933
41,2892,Israel,FrostyOl,97.17%,"135,371","8,705",63,623,975
42,2893,Hong Kong,naaar,97.90%,"60,137","8,705",77,402,"1,061"
43,2894,United States,BlessRNG_,98.17%,"17,816","8,704",10,301,401
44,2895,Brunei,Daynem W,97.75%,"67,931","8,704",47,844,"1,824"
45,2896,Malaysia,Changed,97.72%,"96,192","8,703",39,683,"1,410"
46,2897,United States,Lehendre,98.09%,"45,613","8,702",41,631,686
47,2898,Romania,vali24dm,98.86%,"60,495","8,702",370,689,431
48,2899,Japan,-Suika,96.41%,"50,546","8,702",179,"1,402",521
49,2900,United Kingdom,BergkampIslord,96.39%,"77,357","8,701",33,295,625
0,2901,Brazil,LukasBobeax,99.79%,"67,002","8,700",226,750,78
1,2902,Lithuania,Fybeth,95.42%,"41,797","8,700",25,361,743
2,2903,South Korea,VarvalianFanboy,97.89%,"35,841","8,700",55,698,"1,188"
3,2904,Italy,Saezuri,98.15%,"49,638","8,699",33,175,243
4,2905,Germany,Lamonia,97.62%,"45,137","8,699",195,"1,196",285
5,2906,Taiwan,Ma yin,98.68%,"111,575","8,699",75,"1,910","1,114"
6,2907,Brazil,Tell,99.45%,"35,369","8,698",74,917,"1,030"
7,2908,New Zealand,OneShotFox,97.82%,"62,748","8,697",41,738,"1,343"
8,2909,United Kingdom,Electovoid,99.16%,"62,163","8,696",105,"1,087","1,444"
9,2910,Germany,-Fusein-,98.94%,"99,374","8,696",240,"2,190",639
10,2911,Canada,skooleek,97.39%,"86,466","8,696",41,917,"1,300"
11,2912,United States,Will Stetson,98.83%,"235,740","8,696",512,"1,124","2,813"
12,2913,United Kingdom,Shaww,99.08%,"65,394","8,695",251,"1,814","1,879"
13,2914,Argentina,Bomilk,96.92%,"65,222","8,695",119,700,722
14,2915,South Korea,Abelia,97.63%,"123,570","8,695",80,"1,047","1,483"
15,2916,United Kingdom,[Nathan],98.30%,"105,708","8,695",62,793,"1,458"
16,2917,Spain,NotHans,98.31%,"117,641","8,693",19,890,"1,893"
17,2918,Russian Federation,StiKsy,99.07%,"117,413","8,691",86,971,"1,921"
18,2919,United States,anwag,98.68%,"74,237","8,691",28,406,"1,248"
19,2920,Taiwan,Shilin-,95.85%,"14,105","8,690",123,376,463
20,2921,Slovenia,xAlexo,97.74%,"32,274","8,690",14,246,579
21,2922,Turkey,Ekin,96.32%,"40,134","8,689",31,335,363
22,2923,Qatar,Cloutiful,94.82%,"22,386","8,688",5,115,155
23,2924,Thailand,SakaIndy,95.88%,"75,829","8,688",4,275,469
24,2925,Lithuania,SiCoOG,99.14%,"110,567","8,687",43,870,"1,537"
25,2926,Bulgaria,Poland,96.87%,"66,141","8,687",64,344,734
26,2927,Taiwan,YamashitaNanami,98.73%,"79,690","8,686",129,"1,547","2,446"
27,2928,Japan,shiro428,98.87%,"64,305","8,685",84,"1,518","1,514"
28,2929,Austria,TiltBoi,98.75%,"62,828","8,685",384,"2,843","2,096"
29,2930,United States,Mudflap,99.26%,"20,931","8,684",17,329,"1,182"
30,2931,Germany,Andii286,98.63%,"52,788","8,684",143,723,546
31,2932,Chile,Caly,97.70%,"37,448","8,684",20,376,"1,100"
32,2933,Luxembourg,Kuronora,98.72%,"124,022","8,684",121,"1,566",906
33,2934,Chile,Bauhello,99.02%,"49,079","8,684","1,590",386,449
34,2935,China,[ - Sora - ],97.98%,"65,084","8,684",57,"1,344",965
35,2936,Russian Federation,Def3nderFV,99.07%,"58,396","8,683",157,"1,032",539
36,2937,Chile,NyaNekoMiau,98.44%,"70,215","8,683",209,"1,662",843
37,2938,United States,AlxD,99.40%,"57,433","8,683",60,841,"1,157"
38,2939,Australia,Petyl,97.67%,"75,929","8,682",89,"1,264","1,504"
39,2940,United Kingdom,Shachi,98.60%,"100,002","8,682",38,937,"1,659"
40,2941,New Zealand,buny,98.60%,"99,810","8,681",10,758,566
41,2942,Russian Federation,-Saint1337,96.54%,"30,312","8,681",12,221,441
42,2943,Australia,JappyBabes,98.46%,"153,221","8,681",116,"1,792","1,163"
43,2944,Singapore,Mafuyu-chan,98.30%,"24,650","8,681",55,963,899
44,2945,United States,J0sh,99.24%,"74,218","8,680",46,978,594
45,2946,Japan,TaNaBaTa,98.66%,"124,220","8,679",189,"1,794","1,791"
46,2947,Taiwan,Reiyoru-,98.05%,"98,156","8,678","1,446","2,657","1,274"
47,2948,Italy,- Decadence -,98.62%,"40,001","8,678",11,326,588
48,2949,Italy,Gian,99.10%,"136,617","8,677",244,"1,967",983
49,2950,United Kingdom,LuKePai,97.90%,"63,648","8,677",83,562,433
0,2951,Poland,Lisu,98.00%,"31,825","8,676",86,771,"1,130"
1,2952,Sweden,dLusion,96.73%,"97,329","8,675",29,478,531
2,2953,Australia,Xconor,99.03%,"35,353","8,675",67,608,542
3,2954,Norway,DecoysIsBored,97.34%,"60,820","8,675",3,451,593
4,2955,United States,WholeWheatPete,98.66%,"68,095","8,675",25,653,"1,465"
5,2956,South Korea,Gumi-Desu,99.12%,"145,714","8,675",267,"1,901","2,836"
6,2957,Canada,NeoAxel,99.04%,"76,971","8,675",243,"2,049","2,450"
7,2958,Japan,FelixNy,98.97%,"145,358","8,674",52,621,771
8,2959,China,oohily,98.68%,"84,353","8,674",112,"3,040","1,212"
9,2960,Malaysia,xsrsbsns,99.23%,"79,507","8,673","1,792","3,087",319
10,2961,Japan,mitei33,98.90%,"165,134","8,673",530,"1,453","1,163"
11,2962,Philippines,Akiraie,97.76%,"64,951","8,673",22,761,"1,546"
12,2963,Poland,iberius,98.67%,"68,449","8,672",187,"1,453","1,986"
13,2964,United States,Ducky,99.08%,"58,649","8,672",316,"1,100","1,672"
14,2965,Norway,Levan,99.13%,"111,766","8,672",107,"1,574",979
15,2966,Argentina,Darkmaster,99.24%,"126,204","8,671",117,"1,499","1,041"
16,2967,France,Watsaiye,98.24%,"161,584","8,671",39,594,840
17,2968,Japan,Ainyannnnn,98.62%,"74,374","8,670",80,"1,157",721
18,2969,United States,Slonlk,98.58%,"62,177","8,670",15,346,790
19,2970,South Korea,Crystal-,97.99%,"62,785","8,670",240,"2,168",964
20,2971,Brazil,Notsuren,98.19%,"96,707","8,670",47,372,542
21,2972,Italy,Srayne,98.22%,"132,258","8,670",259,"2,030","2,173"
22,2973,Canada,sub_WHISTLE,98.33%,"134,560","8,668",153,"2,294","2,322"
23,2974,France,NatChan,98.94%,"93,687","8,668",187,"1,500",311
24,2975,Germany,xSnejx,98.79%,"59,393","8,668",52,616,"1,288"
25,2976,Japan,Yuh,99.54%,"60,994","8,668",868,"1,495",223
26,2977,New Zealand,ALTERNATOR32,98.87%,"97,178","8,667",48,914,"1,548"
27,2978,Brazil,luis10barbo,98.62%,"56,000","8,667",33,578,"3,793"
28,2979,Slovenia,Mr_DarkRainBow,98.63%,"103,849","8,667",70,915,"1,097"
29,2980,Australia,MgBr2,98.52%,"68,555","8,666",38,695,529
30,2981,France,Ranshi,99.31%,"75,393","8,666",108,553,524
31,2982,Ukraine,Ruslan_gamer,93.83%,"61,397","8,666",24,518,918
32,2983,Indonesia,Itsakaseru,97.54%,"50,437","8,665",64,757,933
33,2984,Taiwan,black1207,98.90%,"90,571","8,664",142,"1,937",910
34,2985,Kazakhstan,EMVASU,98.88%,"69,249","8,664",8,494,"1,234"
35,2986,France,mrzomb,99.17%,"121,195","8,664",869,"3,493","2,094"
36,2987,United States,Fawx,98.90%,"48,963","8,664",120,944,"1,966"
37,2988,United States,Fanboyyou,98.48%,"116,671","8,664",92,520,"1,044"
38,2989,Norway,Rezk,98.92%,"59,094","8,663",60,950,"1,351"
39,2990,Taiwan,Sakurai-Momoka,99.24%,"40,947","8,663",137,"1,394","1,672"
40,2991,Jordan,JUSTadICE-CHaN,96.96%,"56,668","8,663",37,858,"1,033"
41,2992,United States,Cynosure,99.06%,"56,458","8,663",21,557,617
42,2993,Germany,-Moha,97.89%,"149,706","8,662",14,420,"1,198"
43,2994,Germany,FriendoFox,99.12%,"101,092","8,662",142,903,979
44,2995,United States,spooky1202,97.86%,"55,555","8,662",30,297,669
45,2996,United Kingdom,xFluffyo,99.26%,"171,629","8,660",140,"1,743","1,393"
46,2997,Canada,MCVictorious,98.42%,"97,813","8,660",74,614,867
47,2998,Japan,nekoneko_1027,99.03%,"91,852","8,659",86,"1,303","1,237"
48,2999,Taiwan,brianssa,98.93%,"89,539","8,659",25,"1,006","1,346"
49,3000,United States,SolarCranez,95.41%,"27,907","8,658",5,132,227
0,3001,Belgium,Mornis,98.96%,"74,886","8,658",101,"1,683","1,856"
1,3002,Russian Federation,Ertay1337,96.79%,"42,911","8,658",25,255,287
2,3003,Germany,Spexleon,96.60%,"57,121","8,657",22,483,706
3,3004,Australia,Haibara,97.88%,"77,618","8,657",284,"1,299","1,159"
4,3005,Canada,Darkform,97.61%,"95,375","8,656",70,665,695
5,3006,United States,Rippy Dippy,98.63%,"70,105","8,656",56,"1,122","1,028"
6,3007,Austria,Skyce,98.05%,"68,713","8,655",14,533,612
7,3008,Croatia,StrawFrog,98.44%,"79,048","8,655",80,801,"1,984"
8,3009,United States,Sentences,98.77%,"42,022","8,654",36,331,"1,239"
9,3010,France,nemoest,98.16%,"71,476","8,654",7,677,"1,262"
10,3011,Canada,Marvelous,97.05%,"79,395","8,653",42,644,654
11,3012,Argentina,MinShiru,98.29%,"53,368","8,652",33,577,898
12,3013,Russian Federation,lisophoria,97.27%,"32,819","8,651",26,144,352
13,3014,Taiwan,adi77715,98.58%,"207,367","8,651",173,"2,095","1,917"
14,3015,Thailand,- Mekumin -,98.61%,"65,077","8,651",42,"1,261",785
15,3016,Finland,Lako,99.48%,"93,063","8,650",136,"1,567","2,432"
16,3017,Russian Federation,Stallianer,99.15%,"67,932","8,650",83,972,980
17,3018,United States,OfficialJerk,98.30%,"40,685","8,650",183,"1,345","1,850"
18,3019,Germany,MrAvocadoMan,97.68%,"55,475","8,648",27,682,"1,531"
19,3020,South Korea,huue,98.92%,"65,995","8,647",292,"3,474","1,758"
20,3021,South Korea,HongSeol,95.29%,"133,124","8,647",3,759,"1,167"
21,3022,Japan,Anmiy,99.17%,"195,656","8,647",243,"4,075","1,781"
22,3023,United Kingdom,Saracen,98.30%,"39,093","8,646",160,"1,020",838
23,3024,Canada,Inaban,98.70%,"87,091","8,646",36,632,749
24,3025,France,Lyne,99.09%,"76,172","8,645",115,798,760
25,3026,United States,omphen,98.72%,"69,592","8,644",47,555,"1,206"
26,3027,Germany,Menty,98.64%,"78,367","8,644",14,"1,782","1,329"
27,3028,Russian Federation,andy-bel,95.32%,"72,981","8,643",34,368,873
28,3029,United States,Watr,96.95%,"98,855","8,643",5,316,"1,422"
29,3030,Poland,szalu,96.78%,"73,037","8,642",19,698,"1,726"
30,3031,Poland,Zodark,98.97%,"99,205","8,641",109,"1,803","2,105"
31,3032,Russian Federation,BragaSpraut,97.07%,"43,681","8,640",17,557,888
32,3033,Brazil,TheFoxz,98.72%,"66,926","8,640",6,429,715
33,3034,Poland,Tartis,98.77%,"65,904","8,639",31,825,"1,658"
34,3035,United States,Cymose,98.79%,"35,417","8,639",18,377,395
35,3036,Sweden,_---_,99.52%,"105,018","8,638",132,841,932
36,3037,Canada,cormic566,98.31%,"119,330","8,638",122,"1,293","1,616"
37,3038,South Korea,A R Zero,94.84%,"76,404","8,638",3,331,730
38,3039,Indonesia,Vvn,99.13%,"33,553","8,637",72,621,806
39,3040,Bolivia,smau5,98.46%,"95,952","8,637",27,792,"1,276"
40,3041,Ecuador,Locurador,97.29%,"51,319","8,637",204,741,486
41,3042,Portugal,Zenden,98.81%,"80,019","8,637",62,714,"1,767"
42,3043,Russian Federation,kkre,94.87%,"50,100","8,636",25,268,347
43,3044,New Zealand,dogdog,99.04%,"88,414","8,636",25,940,"1,006"
44,3045,Norway,LGDaniel,98.15%,"76,761","8,636",26,397,802
45,3046,South Korea,RankoNim,98.83%,"122,106","8,636",16,"1,476","1,930"
46,3047,Indonesia,Kirinagi,98.33%,"99,049","8,635",22,"1,060","1,512"
47,3048,Japan,Pyonta,99.48%,"116,109","8,633",104,708,193
48,3049,Austria,Rei0102,97.46%,"128,981","8,632",43,683,"1,385"
49,3050,United States,GreatBanter,96.03%,"53,073","8,632",31,796,677
0,3051,Russian Federation,rcbury,99.14%,"55,972","8,631",34,527,592
1,3052,Peru,Regal,98.80%,"54,479","8,631",19,812,385
2,3053,Japan,Suu-,95.99%,"51,862","8,630",16,683,703
3,3054,Chile,Kozuke,97.93%,"89,551","8,628",24,689,"1,346"
4,3055,Colombia,501312,98.02%,"92,577","8,627",52,545,236
5,3056,Saudi Arabia,I Emma I,98.62%,"27,165","8,627",42,772,"1,220"
6,3057,Canada,ST AR-15,99.17%,"29,788","8,627",15,232,510
7,3058,Belgium,[Sven],98.54%,"107,001","8,626",400,790,"1,294"
8,3059,United States,Pizzabelly,96.24%,"110,711","8,626",18,676,"1,085"
9,3060,Germany,Ichor,99.03%,"189,949","8,626",30,280,737
10,3061,Brazil,Gabe5765,98.07%,"58,314","8,626",92,429,262
11,3062,Norway,Rapple,98.49%,"82,246","8,626",116,"1,547","1,498"
12,3063,China,EchoEss,96.19%,"48,139","8,625",21,250,485
13,3064,United States,Wintr,98.61%,"88,210","8,625",366,622,211
14,3065,Hong Kong,Dislike12574,99.60%,"48,093","8,624",215,"1,051",537
15,3066,Slovakia,MatoLUL,96.86%,"74,785","8,623",77,809,"1,455"
16,3067,Canada,Hollowfury7,96.36%,"154,726","8,623",9,302,868
17,3068,Russian Federation,stimix,97.56%,"59,386","8,623",16,407,992
18,3069,Netherlands,Ashmar,98.58%,"69,267","8,622",111,"1,146",74
19,3070,Japan,a_p4z,96.68%,"51,053","8,622",18,431,932
20,3071,Singapore,Layzmcgee,98.85%,"53,376","8,621",35,457,656
21,3072,Canada,mahloola,99.03%,"95,857","8,621",137,"1,391","2,094"
22,3073,Singapore,Raindrop,99.28%,"91,345","8,620",189,"2,251","1,826"
23,3074,Australia,oi boi,98.11%,"54,916","8,620",67,564,668
24,3075,United States,Mami Tomoe Magi,97.70%,"66,873","8,620",12,418,498
25,3076,Netherlands,buschauffeur,98.70%,"64,246","8,619",18,152,309
26,3077,United Kingdom,Swiftaay,98.84%,"46,999","8,619",92,996,474
27,3078,China,Yukino Miko,99.86%,"140,322","8,619","5,448",63,248
28,3079,United States,Koob,99.18%,"76,105","8,618",231,"1,548","2,350"
29,3080,Russian Federation,Xylmen,99.05%,"130,918","8,618",131,891,"1,421"
30,3081,Russian Federation,Luckydaka,95.74%,"63,069","8,617",72,684,913
31,3082,Russian Federation,rimerca,98.61%,"41,602","8,616",33,529,733
32,3083,Cyprus,Blaze,98.96%,"91,595","8,615",283,"1,399",919
33,3084,Ukraine,Endless Tilt,96.51%,"51,747","8,615",38,355,631
34,3085,Poland,Kulezi,98.88%,"150,449","8,615",131,"1,000","1,072"
35,3086,United States,Goldknightx,99.14%,"50,213","8,615",14,892,"1,904"
36,3087,Spain,KHRiku,98.10%,"54,458","8,614",92,894,528
37,3088,United States,Spectre HD,99.55%,"54,157","8,614",38,501,"1,910"
38,3089,South Korea,Dailycare,98.14%,"47,508","8,614",253,"2,568",784
39,3090,Australia,Sensade,98.28%,"54,544","8,613",27,403,372
40,3091,Germany,Magehawk,98.97%,"76,991","8,612",214,"1,189","2,324"
41,3092,Croatia,The Fart Lord,98.26%,"54,636","8,611",51,698,"1,890"
42,3093,Netherlands,GladiOol,98.87%,"104,411","8,611",592,"4,528","1,138"
43,3094,Hong Kong,O_Ov,96.95%,"67,870","8,611",20,857,813
44,3095,United States,xlDarkBladelx,97.18%,"42,181","8,611",13,478,935
45,3096,United States,Bonk,97.86%,"36,948","8,610",217,628,493
46,3097,Germany,Mizeree,99.00%,"31,533","8,610",34,857,"1,313"
47,3098,France,Sukiye,98.26%,"94,377","8,609",163,"1,353","1,079"
48,3099,China,striFE36,98.63%,"42,774","8,608",11,844,"1,268"
49,3100,France,Ganondorf 3,99.13%,"90,477","8,607",62,728,674
0,3101,United States,a2w,97.22%,"47,635","8,606",2,270,547
1,3102,Germany,-MRK-,99.20%,"75,394","8,606",26,500,"1,902"
2,3103,Poland,Daniel -,97.40%,"118,274","8,606",37,501,"1,223"
3,3104,France,Tiyop,97.52%,"146,083","8,605",97,"1,501","1,009"
4,3105,United Kingdom,october,99.03%,"107,140","8,604",48,"1,242","1,741"
5,3106,United States,Shmeeblez,98.68%,"140,460","8,604",6,244,"1,704"
6,3107,United Kingdom,Lemonosity,99.05%,"53,632","8,604",99,710,"1,878"
7,3108,United States,MrInconsistent,96.37%,"102,889","8,604",36,734,"1,104"
8,3109,Australia,Brikery,99.21%,"47,836","8,603",73,581,476
9,3110,Malaysia,Tzero,99.42%,"116,770","8,602",164,"1,757","2,850"
10,3111,South Korea,EMT,95.26%,"89,711","8,602",28,423,786
11,3112,Canada,totallynotkyle,98.69%,"41,256","8,602",30,404,713
12,3113,Poland,ReGmo,98.22%,"108,698","8,602",73,765,"1,076"
13,3114,Canada,Oshaai,98.59%,"102,468","8,601",58,515,"1,028"
14,3115,Italy,Everywhere,98.97%,"79,404","8,601",48,701,"1,301"
15,3116,Brazil,Shaggy Blanco,96.70%,"131,541","8,601",37,822,"1,452"
16,3117,Poland,-Trine-,98.54%,"104,323","8,600",94,"1,189",416
17,3118,France,OuiOui,99.38%,"39,343","8,600",43,523,370
18,3119,Brazil,Sorixx,99.33%,"84,425","8,599",57,911,"1,617"
19,3120,Japan,Celis,99.25%,"176,953","8,599",335,"2,099","1,463"
20,3121,United States,Zyng,98.27%,"96,959","8,598",11,376,934
21,3122,Indonesia,Velstadt,98.46%,"84,455","8,598",63,"1,354","1,789"
22,3123,Hong Kong,darkmmon,95.96%,"70,222","8,597",6,716,737
23,3124,United States,Akamatsu,98.94%,"87,597","8,596",99,"1,431","1,804"
24,3125,Canada,Rakuneera,98.51%,"73,413","8,596",50,711,"1,020"
25,3126,Brazil,norbertosnt3,98.88%,"87,473","8,596",66,"1,126",990
26,3127,Japan,Guy,99.31%,"145,085","8,596","1,528","3,262",837
27,3128,United States,TheFireWithin,98.76%,"103,882","8,595","1,596","1,784","1,470"
28,3129,Canada,Jazzercize,97.87%,"108,516","8,593",10,254,"1,065"
29,3130,Japan,Cthulhu,98.98%,"143,687","8,592",125,"2,317",903
30,3131,France,-Nenu-,98.96%,"111,193","8,591",72,616,"1,676"
31,3132,Hungary,Cremation,98.97%,"206,757","8,591",805,"3,477","2,134"
32,3133,Czech Republic,Nitr0M_,97.54%,"34,910","8,591",18,555,"1,390"
33,3134,Germany,Resoa,98.01%,"25,094","8,590",12,478,"1,170"
34,3135,United States,Bocks Bocks,96.83%,"69,438","8,589",4,197,470
35,3136,United Kingdom,Terrible,99.02%,"92,630","8,589",146,"1,304","1,174"
36,3137,Sweden,nautzz,99.07%,"84,174","8,589",143,"1,410","5,581"
37,3138,United States,Buddy,96.81%,"66,301","8,589",78,950,"1,286"
38,3139,Germany,TheRealCed,96.12%,"84,764","8,589",319,"1,181",952
39,3140,Poland,-Nemek-,93.96%,"90,697","8,587",106,882,968
40,3141,South Korea,Riviclia,97.93%,"145,232","8,587",43,487,"1,106"
41,3142,Canada,Bowlglet,98.80%,"65,185","8,587",50,778,600
42,3143,United States,ChivaJam,98.82%,"97,897","8,585",81,920,"1,828"
43,3144,Hong Kong,shoyeu,98.51%,"39,132","8,585",18,661,553
44,3145,United Kingdom,xPHAEDRA,96.49%,"92,611","8,584",20,611,"1,111"
45,3146,United Kingdom,Womble,97.61%,"76,806","8,582",36,961,"1,360"
46,3147,Argentina,Lubren,98.72%,"53,477","8,582",424,937,"1,622"
47,3148,United States,Squilly,98.70%,"65,088","8,582",60,507,360
48,3149,China,Miracle,95.52%,"87,443","8,580",27,"1,222","1,813"
49,3150,Peru,Judani,96.67%,"83,417","8,580",178,823,"1,568"
0,3151,Japan,Ruchika,99.25%,"264,482","8,580","2,513","4,486","3,429"
1,3152,United States,Apoxe,98.96%,"41,958","8,580",7,194,505
2,3153,United States,Zodiaack,99.08%,"85,291","8,579",131,"2,454","1,830"
3,3154,Philippines,huntkey14,97.25%,"37,570","8,579",21,362,828
4,3155,United Arab Emirates,3xEB,98.42%,"151,651","8,579",43,"1,121","1,149"
5,3156,United Arab Emirates,- Zetsubo -,98.63%,"64,893","8,578",22,333,757
6,3157,Taiwan,AeolusRaZor,98.49%,"28,215","8,578",34,325,510
7,3158,Australia,MarcusS,97.98%,"34,911","8,577",70,439,"1,104"
8,3159,South Korea,Suzuyuki,97.89%,"121,808","8,577",22,648,726
9,3160,Australia,Maika,98.78%,"74,727","8,577",389,738,177
10,3161,United States,Josh123uaJ,97.92%,"87,901","8,577",17,688,714
11,3162,Chile,allives,98.88%,"114,159","8,577",90,895,625
12,3163,Finland,Clueless,98.23%,"148,959","8,576",104,"1,250","2,048"
13,3164,Russian Federation,Xqeer,97.40%,"43,155","8,576",5,338,982
14,3165,Russian Federation,Top1NoobMyst,97.91%,"58,816","8,575",45,836,946
15,3166,Finland,sipulijuusto,97.78%,"62,983","8,575",96,"1,042","1,283"
16,3167,South Korea,icecreamez,97.09%,"60,848","8,575",34,646,821
17,3168,Serbia,- Aki,98.98%,"112,166","8,574",9,948,"1,014"
18,3169,China,MatsumotoRise,99.01%,"71,441","8,574",128,"2,284","1,658"
19,3170,Indonesia,VNtXDDD,98.08%,"53,292","8,573",85,726,"1,543"
20,3171,Australia,Icyteru,99.26%,"109,549","8,572",68,"1,308",874
21,3172,United Kingdom,phant0mm,98.85%,"121,806","8,572",226,"2,032","1,971"
22,3173,Hong Kong,Seros,97.01%,"48,375","8,572",4,314,534
23,3174,Slovakia,Ezreal156,95.40%,"57,467","8,572",8,331,549
24,3175,United States,Jile,96.26%,"53,835","8,572",84,"1,040","1,330"
25,3176,Italy,Amabsu,97.80%,"49,690","8,571",6,270,722
26,3177,United States,Trigg,99.19%,"102,859","8,571",87,"1,071",610
27,3178,South Korea,Y4ong,99.31%,"171,109","8,570",63,839,"1,101"
28,3179,Brazil,[Osu]Sagiri,99.35%,"47,226","8,569",81,596,465
29,3180,United Kingdom,Yohei,98.88%,"44,481","8,569",398,"1,142",575
30,3181,Canada,Dudsunz,98.87%,"66,355","8,569",29,577,"1,308"
31,3182,South Korea,Mandu,98.80%,"27,856","8,569",20,386,"1,248"
32,3183,United States,jordab,98.33%,"81,917","8,568",233,"1,099","1,809"
33,3184,Singapore,Mekeyo,97.99%,"47,696","8,568",27,392,438
34,3185,Poland,Laphnex,98.20%,"135,715","8,568",110,"1,412","1,057"
35,3186,Poland,ezu,98.27%,"88,220","8,567",17,524,"1,228"
36,3187,United States,RKWDreams,96.94%,"46,104","8,567",7,175,401
37,3188,Indonesia,Shigeru22,99.05%,"74,285","8,566",522,"1,893",426
38,3189,United States,aurabby,98.81%,"37,568","8,565",46,438,"1,131"
39,3190,Croatia,Fiilip,98.78%,"59,999","8,565",19,416,910
40,3191,Germany,Shiku,98.52%,"78,327","8,565",94,"1,107",931
41,3192,Argentina,juan736,95.40%,"115,393","8,565",395,"3,912","3,622"
42,3193,Chile,Kalowo,96.14%,"45,428","8,565",29,494,801
43,3194,Argentina,lucasiturrarte,98.94%,"272,001","8,565",419,"2,013","1,614"
44,3195,Austria,The100500,99.17%,"100,980","8,564",47,702,827
45,3196,Bulgaria,MyAngelSatania,96.75%,"73,513","8,562",331,"1,455","1,818"
46,3197,Philippines,-Ducky,98.99%,"58,046","8,562",78,782,897
47,3198,Russian Federation,koteyka20,98.33%,"82,676","8,562",216,"1,064",839
48,3199,Portugal,Destino,98.21%,"188,370","8,562",79,"1,110",760
49,3200,United States,Gurbzy,98.92%,"46,233","8,561",11,247,396
0,3201,Finland,Medium,96.88%,"59,839","8,560",25,703,"1,847"
1,3202,United States,Azumin,98.57%,"80,394","8,560",41,"1,003","1,315"
2,3203,Canada,conesaliiid,95.96%,"121,913","8,559",4,230,"1,035"
3,3204,Poland,BadAimBoi,98.37%,"76,827","8,558",270,962,"1,039"
4,3205,Malaysia,CantBeTaymed,98.53%,"72,735","8,558",36,694,728
5,3206,United States,3zachm,98.18%,"122,489","8,558",75,785,688
6,3207,South Korea,impenniless,99.13%,"55,051","8,558",78,904,900
7,3208,South Korea,ued,98.75%,"61,784","8,557",75,628,674
8,3209,Philippines,xX_MusicMan_Xx,99.13%,"61,825","8,557",105,895,"1,054"
9,3210,United States,Biocode639,99.11%,"133,350","8,556","1,092","1,585","1,499"
10,3211,Indonesia,Wrath-,96.33%,"60,817","8,556",26,575,863
11,3212,Germany,Blad_D,98.63%,"92,871","8,555",34,360,977
12,3213,Japan,caramel1ze_,96.27%,"52,319","8,555",26,221,256
13,3214,Hong Kong,Hornia,98.75%,"73,838","8,554",51,656,675
14,3215,Russian Federation,rhythmz,95.00%,"91,840","8,553",9,423,642
15,3216,United Kingdom,Kardet,98.81%,"87,056","8,553",171,"1,970","1,414"
16,3217,Japan,Neuenmuller,96.35%,"145,144","8,553",32,"1,195",639
17,3218,Japan,oitaN,96.14%,"71,499","8,553",160,"1,440","1,089"
18,3219,Philippines,tiny snek,97.85%,"113,985","8,553",20,577,908
19,3220,United Kingdom,Maharen,99.20%,"88,928","8,552",139,"1,282","2,070"
20,3221,Argentina,Kaoshii,98.83%,"99,226","8,551",85,870,853
21,3222,France,My Angel Ariana,99.51%,"72,447","8,550",114,745,"1,624"
22,3223,Singapore,drugkeeper,98.68%,"60,813","8,550",31,495,593
23,3224,United States,Kamusta,99.17%,"86,984","8,549",32,478,"1,258"
