GENES "U3" "U4" "U6" "U7" "U8" "U9" "H34" "H35" "H36" "H38" "H39" "H40" "S62" "S63" "S64" "S67" "S68"
"MMP10" 1.28370760141919 1.19612785879349 1.52824853462623 1.95631424549103 3.64182542195146 1.06675811713285 0.442769210733163 20.2684042255241 1.58134380707547 1.06675811713285 1.50122237492667 1.46699837811488 1.04161601065058 3.41391864140644 4.03303986962832 1.17268626561526 1.18533077198248
"MMP11" 1.28370760141919 3.58838357638048 4.58474560387868 1.95631424549103 1.21394180731715 1.06675811713285 6251.90125555226 1.06675811713285 1.58134380707547 1.06675811713285 1.50122237492667 1.46699837811488 1.04161601065058 1.13797288046881 1.34434662320944 1.17268626561526 257.216777520198
"MMP13" 3.85112280425758 1.19612785879349 1.52824853462623 60.645741610222 1.21394180731715 1.06675811713285 0.442769210733163 7600.65158457152 7.90671903537736 650.722451451036 1.50122237492667 1.46699837811488 1.04161601065058 1.13797288046881 1.34434662320944 1.17268626561526 1.18533077198248
"MMP2" 3.85112280425758 1.19612785879349 4.58474560387868 1.95631424549103 1.21394180731715 1.06675811713285 0.442769210733163 1.06675811713285 1.58134380707547 1.06675811713285 1.50122237492667 1.46699837811488 3.12484803195175 1.13797288046881 1.34434662320944 1.17268626561526 3.55599231594744
"MMP3" 1.28370760141919 1.19612785879349 1.52824853462623 1.95631424549103 1.21394180731715 1.06675811713285 0.442769210733163 2.13351623426569 1.58134380707547 1.06675811713285 1.50122237492667 1.46699837811488 1.04161601065058 1.13797288046881 1.34434662320944 1.17268626561526 1.18533077198248
"MMP9" 1.28370760141919 1.19612785879349 1.52824853462623 1.95631424549103 1.21394180731715 3.20027435139854 1.32830763219949 1.06675811713285 4.74403142122642 39.4700503339153 16.5134461241934 4.40099513434464 3.12484803195175 1.13797288046881 1.34434662320944 1.17268626561526 1.18533077198248
"MTA1" 100.129192910697 1596.83069148931 1.52824853462623 25.4320851913834 156.598493143913 161.08047568706 263.447680386232 3.20027435139854 14.2320942636792 94.9414724248232 571.965724847061 690.956236092108 342.691667504042 650.920487628161 65.8729845372626 3.51805879684579 79.4171617228261
"MTSS1" 373.558912012986 1.19612785879349 1.52824853462623 1.95631424549103 6.06970903658576 43.7370828024467 115.562764001355 105.609053596152 105.950035074057 3.20027435139854 1.50122237492667 4.40099513434464 3.12484803195175 1.13797288046881 4.03303986962832 1.17268626561526 1.18533077198248
"MYC" 2080.89002190051 27.5109407522504 4.58474560387868 13.6941997184372 1.21394180731715 7.46730681992992 350.673214900665 1031.55509926746 49.0216580193396 10.6675811713285 938.263984329169 981.421914958854 436.437108462595 5743.3491277261 1.34434662320944 395.195271512344 15.4093000357722
"MYCL1" 1.28370760141919 1.19612785879349 1.52824853462623 1.95631424549103 1.21394180731715 1.06675811713285 0.442769210733163 3.20027435139854 1.58134380707547 1.06675811713285 1.50122237492667 1.46699837811488 1.04161601065058 1.13797288046881 1.34434662320944 1.17268626561526 1.18533077198248
"NF2" 3.85112280425758 41.8644750577723 1.52824853462623 1.95631424549103 1.21394180731715 1.06675811713285 40.2919981767178 1.06675811713285 1.58134380707547 3.20027435139854 31.5256698734601 1.46699837811488 3.12484803195175 1.13797288046881 1.34434662320944 8.20880385930684 1.18533077198248
"NME1" 61.6179648681213 32.2954521874243 7.64124267313114 7696.14024176172 122.608122539032 10127.8015640592 10.1836918468627 598.451303711526 14.2320942636792 5.33379058566423 16.5134461241934 74.8169172838588 7506.92658875876 5119.73998922919 4.03303986962832 10173.0533542124 7148.72988582633
"NME2" 599.491449862764 1066.9460500438 1.52824853462623 5.86894273647309 1608.47289469523 1923.36488519052 436.570441782898 1119.02926487235 583.515864810849 1784.68632996325 37.5305593731668 3997.57058036304 618.719910326447 1691.02770037666 748.801069127658 2774.57570444571 798.912940316191
"NME4" 1.28370760141919 8.37289501155446 1.52824853462623 1.95631424549103 1.21394180731715 28.8024691625868 144.342762699011 118.410151001746 697.372618920283 84.2738912534948 79.5647858711135 1.46699837811488 5.20808005325292 30.725267772658 1.34434662320944 1.17268626561526 1.18533077198248
"NR4A3" 1.28370760141919 1.19612785879349 4.58474560387868 1.95631424549103 10.9254762658544 1.06675811713285 0.442769210733163 892.876544040192 1.58134380707547 3.20027435139854 3.00244474985334 1.46699837811488 3.12484803195175 3.41391864140644 1.34434662320944 1.17268626561526 3.55599231594744
"PLAUR" 222.081415045521 3.58838357638048 1.52824853462623 1.95631424549103 1.21394180731715 1.06675811713285 68.6292276636402 4344.90581108208 11.0694066495283 831.004573246487 25.5207803737534 717.362206898176 473.935284846016 246.940115061732 1.34434662320944 996.783325772974 45.0425693353342
"PNN" 3697.07789208728 24916.5394265273 40223.5014313623 1842.84801925255 10374.3466853324 4886.81893458556 1307.49747929503 4009.94376230237 469.659110701415 1756.9506189178 5174.71352637223 19.0709789154934 11486.9413654546 2902.96881807594 22591.7450030347 38695.1287065068 10897.9311176069
